,0,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,
part_id,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process,start_time,process_time,process
U611 B16S,37,1,HF010,44,1,HF020,63,1,HF031,80,5,HA011,91,8,HA031,99,3,HA021,105,9,HA041,116,3,FB021,122,1,HL011,,,Sink,,,,,,,,,
U611 B16P,37,1,HF010,44,1,HF020,63,1,HF031,79,5,HA011,88,8,HA031,94,5,HA021,102,9,HA041,115,2,FB021,122,1,HL011,,,Sink,,,,,,,,,
U611 B52S,37,1,HF010,44,1,HF020,63,1,HF031,85,6,HA011,94,12,HA031,105,9,HA021,112,2,FB011,115,14,HA041,135,3,FB021,143,7,PB011,161,1,HL023,,,Sink,,,
U611 B11C,38,1,HF010,45,1,HF020,64,1,HF031,80,5,HA011,91,8,HA031,98,5,HA021,106,11,HA041,121,3,FB021,128,7,PB011,151,1,HL023,,,Sink,,,,,,
U611 S16P,39,1,HF010,46,1,HF020,65,1,HF031,79,13,HA011,92,23,HA031,109,10,HA021,115,2,FB011,120,10,HA041,134,4,FB021,150,8,PB011,169,1,PS023,170,1,HL023,,,Sink
U611 B17S,39,1,HF010,46,1,HF020,65,1,HF031,85,5,HA011,93,8,HA031,101,3,HA021,107,9,HA041,120,3,FB021,123,1,HL011,,,Sink,,,,,,,,,
U611 B17P,39,1,HF010,46,1,HF020,65,1,HF031,84,5,HA011,92,8,HA031,98,5,HA021,106,9,HA041,119,3,FB021,123,1,HL011,,,Sink,,,,,,,,,
U611 S16S,42,1,HF010,49,1,HF020,66,1,HF031,85,13,HA011,95,23,HA031,114,10,HA021,120,2,FB011,123,10,HA041,137,4,FB021,154,8,PB011,171,1,PS023,172,1,HL023,,,Sink
U611 S17P,42,1,HF010,49,1,HF020,66,1,HF031,80,13,HA011,93,23,HA031,112,8,HA021,116,2,FB011,121,10,HA041,135,4,FB021,151,8,PB011,169,1,PS023,170,1,HL023,,,Sink
U611 S17S,43,1,HF010,50,1,HF020,67,1,HF031,86,13,HA011,98,21,HA031,115,10,HA021,121,2,FB011,126,10,HA041,140,4,FB021,155,8,PB011,171,1,PS023,172,1,HL023,,,Sink
U611 F41P,45,1,HF010,52,1,HF020,71,1,HF031,85,15,HA011,98,17,HA031,106,8,HA021,112,2,FB011,115,16,HA041,137,5,FB021,151,6,PB011,171,1,PS023,172,1,HL023,,,Sink
U611 F41S,45,1,HF010,52,1,HF020,71,1,HF031,92,15,HA011,106,16,HA031,113,11,HA021,120,2,FB011,123,16,HA041,149,5,FB021,161,6,PB011,171,1,PS023,172,1,HL023,,,Sink
U611 S12P,46,1,HF010,53,1,HF020,72,1,HF031,85,13,HA011,99,10,HA031,105,5,HA021,113,9,HA041,126,4,FB021,140,7,PB011,157,1,PS023,158,1,HL023,,,Sink,,,
U612 E31S,49,1,HF010,59,1,HF020,73,1,HF031,86,15,HA011,100,18,HA031,108,14,HA021,116,2,FB011,121,11,HA041,140,7,FB021,156,6,PB011,197,1,PS023,198,1,HL023,,,Sink
U611 H31C,49,1,HF010,59,1,HF020,73,1,HF031,88,5,HA031,95,15,FB021,116,9,PB011,129,1,HL023,,,Sink,,,,,,,,,,,,,,,
U611 S18P,49,1,HF010,59,1,HF020,73,1,HF031,91,13,HA011,102,14,HA031,109,10,HA021,115,1,FB011,119,13,HA041,136,4,FB021,150,8,PB011,170,1,PS023,171,1,HL023,,,Sink
U611 S12S,49,1,HF010,59,1,HF020,73,1,HF031,87,13,HA011,101,12,HA031,107,5,HA021,115,9,HA041,128,4,FB021,143,7,PB011,158,1,PS023,161,1,HL023,,,Sink,,,
U612 E31P,49,1,HF010,59,1,HF020,73,1,HF031,88,15,HA011,102,18,HA031,112,13,HA021,120,2,FB011,123,11,HA041,140,7,FB021,157,5,PB011,197,1,PS023,198,1,HL023,,,Sink
U611 S18S,49,1,HF010,59,1,HF020,73,1,HF031,91,13,HA011,100,15,HA031,107,7,HA021,112,3,FB011,115,13,HA041,134,4,FB021,141,8,PB011,164,1,PS023,165,1,HL023,,,Sink
U611 T15S,50,1,HF010,60,1,HF020,74,1,HF031,126,6,HA021,135,8,HA041,149,3,FB021,162,1,PS023,,,Sink,,,,,,,,,,,,,,,
U612 A11C,51,1,HF010,63,1,HF020,77,1,HF031,93,6,HA021,102,32,HA041,150,4,FB021,162,5,PB011,189,1,HL023,,,Sink,,,,,,,,,,,,
U612 E32P,52,1,HF010,64,1,HF020,78,1,HF031,93,6,HA011,105,12,HA031,113,14,HA021,121,2,FB011,126,11,HA041,141,7,FB021,157,5,PB011,197,1,PS023,198,1,HL023,,,Sink
U612 E32S,52,1,HF010,64,1,HF020,78,1,HF031,98,6,HA011,107,12,HA031,115,14,HA021,123,2,FB011,128,11,HA041,144,7,FB021,158,6,PB011,197,1,PS023,198,1,HL023,,,Sink
U611 S19S,53,1,HF010,65,1,HF020,79,1,HF031,95,13,HA011,106,15,HA031,113,7,HA021,116,5,FB011,121,13,HA041,140,4,FB021,149,8,PB011,164,1,PS023,165,1,HL023,,,Sink
U611 S19P,53,1,HF010,65,1,HF020,79,1,HF031,95,13,HA011,108,13,HA031,115,8,HA021,120,2,FB011,123,13,HA041,143,4,FB021,154,8,PB011,170,1,PS023,171,1,HL023,,,Sink
U612 B12P,60,1,HF010,67,1,HF020,84,1,HF031,100,5,HA011,108,8,HA031,114,5,HA021,122,10,HA041,136,3,FB021,143,1,HL011,,,Sink,,,,,,,,,
U612 A22C,60,1,HF010,67,1,HF020,84,1,HF031,94,15,HA011,108,26,HA031,136,2,FB011,141,17,HA041,168,4,FB021,198,8,PB011,212,1,PS023,213,1,HL023,,,Sink,,,
U612 B12S,60,1,HF010,67,1,HF020,84,1,HF031,101,5,HA011,109,8,HA031,119,3,HA021,123,10,HA041,137,3,FB021,143,1,HL011,,,Sink,,,,,,,,,
U612 E21P,63,1,HF010,70,1,HF020,85,1,HF031,95,13,HA011,109,16,HA031,119,14,HA021,127,2,FB011,130,10,HA041,148,5,FB021,158,6,PB011,185,1,PS023,189,1,HL023,,,Sink
U612 E21S,63,1,HF010,70,1,HF020,85,1,HF031,99,13,HA011,113,14,HA031,121,14,HA021,129,2,FB011,134,10,HA041,150,6,FB021,162,6,PB011,185,1,PS023,189,1,HL023,,,Sink
U612 S13S,63,1,HF010,70,1,HF020,85,1,HF031,102,13,HA011,114,23,HA031,130,5,HA021,143,10,HA041,158,4,FB021,175,7,PB011,193,1,PS023,196,1,HL023,,,Sink,,,
U611 T11S,64,1,HF010,71,1,HF020,86,1,HF031,102,6,HA021,113,8,HA041,123,3,FB021,141,4,FB031,150,1,PS023,151,1,HL023,,,Sink,,,,,,,,,
U611 T11P,64,1,HF010,71,1,HF020,86,1,HF031,101,6,HA021,112,8,HA041,122,3,FB021,143,3,FB031,150,1,PS023,151,1,HL023,,,Sink,,,,,,,,,
U611 E39C,64,1,HF010,71,1,HF020,86,1,HF031,109,8,HA021,121,4,FB021,129,5,PB011,161,1,HL023,,,Sink,,,,,,,,,,,,,,,
U612 B51P,64,1,HF010,71,1,HF020,86,1,HF031,101,6,HA011,112,14,HA031,126,8,HA021,130,2,FB011,135,11,HA041,154,4,FB021,163,7,PB011,186,1,HL023,,,Sink,,,
U611 A31P,64,1,HF010,71,1,HF020,86,1,HF031,93,13,HA011,113,10,HA031,120,13,HA021,127,3,FB011,130,12,HA041,150,3,FB021,157,1,HL011,,,Sink,,,,,,
U611 A31S,64,1,HF010,71,1,HF020,86,1,HF031,94,13,HA011,114,10,HA031,121,13,HA021,128,3,FB011,133,12,HA041,151,3,FB021,157,1,HL011,,,Sink,,,,,,
U612 E13C,64,1,HF010,71,1,HF020,86,1,HF031,102,5,HA021,112,14,HA041,133,2,FB021,135,1,HL011,,,Sink,,,,,,,,,,,,,,,
U612 E41S,64,1,HF010,71,1,HF020,86,1,HF031,98,16,HA011,112,19,HA031,120,15,HA021,127,5,FB011,133,10,HA041,150,8,FB021,176,7,PB011,199,1,PS023,200,1,HL023,,,Sink
U612 E41P,64,1,HF010,71,1,HF020,86,1,HF031,101,16,HA011,116,18,HA031,122,19,HA021,123,19,FB011,137,10,HA041,155,8,FB021,170,5,PB011,199,1,PS023,200,1,HL023,,,Sink
U612 B51S,64,1,HF010,71,1,HF020,86,1,HF031,107,6,HA011,119,14,HA031,133,8,HA021,137,2,FB011,143,11,HA041,161,4,FB021,169,7,PB011,186,1,HL023,,,Sink,,,
U611 T12S,65,1,HF010,72,1,HF020,87,1,HF031,106,6,HA021,115,8,HA041,128,3,FB021,155,1,PS023,156,1,HL023,,,Sink,,,,,,,,,,,,
U611 D11S,65,1,HF010,72,1,HF020,87,1,HF031,105,5,HA011,113,7,HA031,115,11,HA021,126,1,FB011,127,8,HA041,137,5,FB021,155,6,PB011,170,1,PS023,171,1,HL023,,,Sink
U611 D11P,65,1,HF010,72,1,HF020,87,1,HF031,113,7,HA031,116,10,HA021,126,1,FB011,128,8,HA041,140,5,FB021,156,5,PB011,170,1,PS023,171,1,HL023,,,Sink,,,
U612 S13P,65,1,HF010,72,1,HF020,87,1,HF031,102,13,HA011,113,24,HA031,129,5,HA021,141,10,HA041,157,4,FB021,169,8,PB011,192,1,PS023,193,1,HL023,,,Sink,,,
U612 E42P,65,1,HF010,72,1,HF020,87,1,HF031,102,16,HA011,119,16,HA031,123,19,HA021,128,13,FB011,140,10,HA041,156,8,FB021,177,5,PB011,199,1,PS023,200,1,HL023,,,Sink
U612 E42S,65,1,HF010,72,1,HF020,87,1,HF031,95,16,HA011,113,15,HA031,120,16,HA021,129,2,FB011,134,10,HA041,151,8,FB021,179,6,PB011,199,1,PS023,200,1,HL023,,,Sink
U611 B58P,65,1,HF010,72,1,HF020,87,1,HF031,108,6,HA011,120,14,HA031,133,10,HA021,140,2,FB011,144,14,HA041,165,4,FB021,175,7,PB011,196,1,HL034,,,Sink,,,
U611 F21P,66,1,HF010,73,1,HF020,88,1,HF031,102,12,HA011,114,15,HA031,123,9,HA021,128,3,FB011,133,12,HA041,151,2,FB021,158,1,HL011,196,1,PS023,,,Sink,,,
U611 F21S,66,1,HF010,73,1,HF020,88,1,HF031,105,12,HA011,115,15,HA031,126,7,HA021,129,3,FB011,134,12,HA041,154,2,FB021,158,1,HL011,,,Sink,,,,,,
U612 S11P,66,1,HF010,73,1,HF020,88,1,HF031,102,7,HA011,114,8,HA031,121,7,HA021,126,3,FB011,129,13,HA041,151,4,FB021,168,7,PB011,185,1,PS023,186,1,HL023,,,Sink
U611 T12P,66,1,HF010,73,1,HF020,88,1,HF031,105,6,HA021,114,8,HA041,126,3,FB021,149,3,FB031,155,1,PS023,156,1,HL023,,,Sink,,,,,,,,,
U612 S11S,66,1,HF010,73,1,HF020,88,1,HF031,107,7,HA011,119,8,HA031,123,10,HA021,129,2,FB011,134,13,HA041,156,4,FB021,169,8,PB011,185,1,PS023,186,1,HL023,,,Sink
U611 B13P,67,5,HA011,77,8,HA031,84,5,HA021,92,9,HA041,105,3,FB021,112,1,HL011,,,Sink,,,,,,,,,,,,,,,,,,
U611 B58S,67,1,HF010,74,1,HF020,91,1,HF031,106,6,HA011,115,14,HA031,128,12,HA021,135,2,FB011,140,14,HA041,162,4,FB021,170,7,PB011,191,1,HL034,,,Sink,,,
U613 E12C,67,1,HF010,74,1,HF020,91,1,HF031,101,13,HA011,115,18,HA031,123,21,HA021,130,12,FB011,141,15,HA041,164,2,FB021,169,1,HL011,,,Sink,,,,,,
U613 E11C,67,1,HF010,74,1,HF020,91,1,HF031,105,12,HA011,115,21,HA031,136,4,FB011,148,16,HA041,170,15,FB021,197,7,PB011,214,1,HL023,,,Sink,,,,,,
U612 B14S,67,1,HF010,74,1,HF020,91,1,HF031,108,5,HA011,116,8,HA031,126,3,HA021,130,9,HA041,144,3,FB021,151,1,HL011,,,Sink,,,,,,,,,
U611 F31P,67,1,HF010,74,1,HF020,91,1,HF031,106,6,HA011,115,10,HA031,122,13,HA021,129,3,FB011,134,12,HA041,154,4,FB021,163,1,HL011,197,1,PS023,,,Sink,,,
U611 F31S,67,1,HF010,74,1,HF020,91,1,HF031,107,6,HA011,116,10,HA031,122,14,HA021,130,2,FB011,135,12,HA041,155,4,FB021,163,1,HL011,,,Sink,,,,,,
